Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
DSEnumCallback,Yes,Yes,No,DirectX2,user-defined,dsound.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95; added to Windows NT 4.0,No,callback function
EditWordBreakProc,Yes,Yes,No,callback/user,user-defined,winuser.h,EDITWORDBREAKPROC,,WinNT,callback function
EditWordBreakProcEx,Yes,Yes,No,callback/user,user-defined, -,,New for Windows 95; added to Windows NT 4.0,No,callback function
EnhMetaFileProc,Yes,Yes,No,callback/metafile,user-defined,wingdi.h,ENHMFENUMPROC,,No,callback function
EnumCalendarInfoProc,Yes,No,Yes,callback/Kernel/NLS,user-defined,winnls.h,CALINFO_ENUMPROC,,WinNT,callback function
EnumCallback,Yes,Yes,No,DirectX2,user-defined,ddraw.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95; added to Windows NT 4.0,No,callback function
EnumChildProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,WNDENUMPROC,,No,callback function
EnumCodePagesProc,Yes,No,Yes,callback/Kernel/NLS,user-defined,winnls.h,CODEPAGE_ENUMPROC,,WinNT,callback function
EnumDateFormatsProc,Yes,No,Yes,callback/Kernel/NLS,user-defined,winnls.h,DATEFMT_ENUMPROC,,WinNT,callback function
EnumDesktopProc,Yes,No,No,callback/user,user-defined,winuser.h,DESKTOPENUMPROC,,WinNT,callback function
EnumDPCallback,Yes,Yes,No,DirectX2,user-defined,dplay.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95; added to Windows NT 4.0,No,callback function
EnumFontFamExProc,Yes,Yes,No,callback/GDI/Text,user-defined,wingdi.h,FONTENUMPROC,New for Windows 95; added to Windows NT 4.0,No,callback function
EnumFontFamProc,Yes,Yes,Yes,callback/GDI/Text,user-defined,wingdi.h,FONTENUMPROC,,No,callback function
EnumFontsProc,Yes,Yes,Yes,callback/GDI/Text,user-defined,wingdi.h,FONTENUMPROC,,No,callback function
EnumICMProfilesProc,No,Yes,No,callback/ICM,user-defined,wingdi.h,ICMENUMPROC,New for Windows 95,No,callback function
EnumLocalesProc,Yes,No,Yes,callback/Kernel/NLS,user-defined,winnls.h,LOCALE_ENUMPROC,,WinNT,callback function
EnumMetaFileProc,Yes,Yes,Yes,callback/metafile,user-defined,wingdi.h,MFENUMPROC,,No,callback function
EnumModesCallback,Yes,Yes,No,DirectX2,user-defined,ddraw.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95; added to Windows NT 4.0,No,callback function
EnumObjectsProc,Yes,Yes,Yes,callback/kernel,user-defined,wingdi.h,GOBJENUMPROC,,No,callback function
EnumPlayersCallback,Yes,Yes,No,DirectX2,user-defined,dplay.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95; added to Windows NT 4.0,No,callback function
EnumRegisterWordProc,Yes,Yes,No,callback/IMM,user-defined,imm.h,REGISTERWORDENUMPROC,,WinNT,callback function
EnumResLangProc,Yes,Yes,Yes,callback/Kernel/Resources,user-defined,winbase.h,ENUMRESLANGPROC,,No,callback function
EnumResNameProc,Yes,Yes,Yes,callback/Kernel/Resources,user-defined,winbase.h,ENUMRESNAMEPROC,,No,callback function
EnumResTypeProc,Yes,Yes,Yes,callback/Kernel/Resources,user-defined,winbase.h,ENUMRESTYPEPROC,,No,callback function
EnumSessionsCallback,Yes,Yes,No,DirectX2,user-defined,dplay.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95; added to Windows NT 4.0,No,callback function
EnumSurfacesCallback,Yes,Yes,No,DirectX2,user-defined,ddraw.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95; added to Windows NT 4.0,No,callback function
EnumThreadWndProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,WNDENUMPROC,,No,callback function
EnumTimeFormatsProc,Yes,No,Yes,callback/Kernel/NLS,user-defined,winnls.h,TIMEFMT_ENUMPROC,,WinNT,callback function
EnumWindowsProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,WNDENUMPROC,,No,callback function
EnumWindowStationProc,Yes,No,No,callback/user,user-defined,winuser.h,WINSTAENUMPROC,,WinNT,callback function
ExtensionPropSheetPageProc,Yes,Yes,Yes,callbackback/user,user-defined,prsht.h,LPFNADDPROPSHEETPAGES,,No,callback function
FileIOCompletionRoutine,Yes,No,No,callback/kernel,user-defined, -,,,No,callback function
FMExtensionProc,Yes,No,No,callback/filemgr,user-defined,wfext.h,"""Windows 95: Only supports 16-bit FileManager""",,WinNT,callback function
fnCallback,Yes,Yes,No,DirectX2,user-defined,ddraw.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95; added to Windows NT 4.0,No,callback function
FNIDLE,Yes,Yes,No,MAPI,user-defined,mapiutil.h,May not be supported in future versions,Since MAPI 1.0,No,callback function
ForegroundIdleProc,Yes,No,No,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
FRHookProc,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPFRHOOKPROC,,No,callback function
GetMsgProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
Handler,Yes,Yes,No,callback/service,user-defined, -,,,No,callback function
HandlerRoutine,Yes,Yes,No,callback/console,user-defined, -,,,No,callback function
HPProviderInit,Yes,Yes,No,MAPI,user-defined,mapihook.h,,Since MAPI 1.0,No,callback function
IOProc,Yes,Yes,Yes,callback/mm,user-defined,mmsystem.h,MMIOPROC,,No,callback function
JournalPlaybackProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
JournalRecordProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
KeyboardProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
LINECALLBACK,Yes,Yes,No,TAPI,user-defined,tapi.h,,,,callback function
LineDDAProc,Yes,Yes,Yes,callback/GDI,user-defined,wingdi.h,LINEDDAPROC,,No,callback function
LPFNBUTTON,Yes,Yes,No,MAPI,user-defined,mapidefs.h,,Since MAPI 1.0,No,callback function
MessageProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
MidiInProc,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
MidiOutProc,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
MMIOProc,Yes,Yes,Yes,callback/mm,user-defined,mmsystem.h,MMIOPROC,,No,callback function
MouseProc,Yes,Yes,Yes,callback/mm,user-defined,winuser.h,HOOKPROC,,No,callback function
MSGCALLRELEASE,Yes,Yes,No,MAPI,user-defined,imessage.h,,Since MAPI 1.0,No,callback function
MSGSERVICEENTRY,Yes,Yes,No,MAPI,user-defined,mapispi.h,,Since MAPI 1.0,No,callback function
MSProviderInit,Yes,Yes,No,MAPI,user-defined,mapispi.h,,Since MAPI 1.0,No,callback function
MyStatusProc,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
NOTIFCALLBACK,Yes,Yes,No,MAPI,user-defined,mapidefs.h,May not be supported in future versions,Since MAPI 1.0,No,callback function
OFNHookProc,Yes,Yes,No,callback/common dialogs,user-defined, -,LPOFNHOOKPROC,,No,callback function
OFNHookProcOldStyle,Yes,Yes,Yes,callback/common dialogs,user-defined, -,LPOFNHOOKPROC,,No,callback function
OPTIONCALLBACK,Yes,Yes,No,MAPI,user-defined,mapispi.h,,Since MAPI 1.0,No,callback function
ORASADFunc,Yes,No,No,callback/Remote Access Service,user-defined,ras.h,,,No,callback function
